@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-9,11-12,14,17-18,20,25'

@attribute distFromSource numeric
@attribute hour numeric
@attribute minute numeric
@attribute regionCode {30,40,50,60,70,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute typeMeasurementId {0,1,2,3,4,5,7,8,9,10}
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute logrunupHt {m,s,l}

@data
181.464036,22,54,89,1,8.3,10,6.88237,8.009683,9,22,s
4374.75535,5,59,85,3,8.2,2,6.5,8.1,9,33,s
119.266804,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
8294.760958,13,17,81,1,8,2,6.8,8.1,9,28,s
177.614308,17,48,81,1,8.1,4,7.1,8.1,8.530885,18,m
63.052578,10,2,83,3,7.5,5,6.88237,8.009683,9,20,m
318.59105,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
219.622903,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,m
13234.68048,5,46,89,1,9.1,5,7.2,8.3,8.530885,29,m
133.373715,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
31.711912,19,0,88,3,7.5,1,6.88237,7.5,8,26.742663,m
181.552545,22,54,89,1,8.3,10,6.88237,8.009683,9,22,m
2108.422092,0,58,60,1,9.1,4,7,8.8,8.530885,30,m
4168.689656,3,4,80,1,7.7,2,6.5,7.5,8.530885,14,s
135.510892,0,16,88,1,7.6,1,5.4,7.7,8.530885,30,l
204.773181,0,48,85,1,8.2,1,6.88237,8.009683,6,7,m
74.251369,14,42,60,1,7.8,10,6.5,7.3,8.530885,20,m
8465.704439,5,46,88,1,9.1,1,7.2,8.3,8.530885,29,s
11115.53348,6,34,80,1,8.8,2,7.2,8.5,9,22,s
193.582987,19,50,85,1,8.3,2,6.9,8.1,8.530885,27,s
3571.961946,12,29,80,3,8.6,5,6.88237,7.3,6,15,m
272.640097,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
1160.149837,13,22,85,1,8.3,5,7.3,8.1,9,14,s
595.759463,13,17,86,1,7.7,4,6.6,7.6,8,17,s
3579.100999,12,29,80,3,8.6,5,6.88237,7.3,6,15,m
10.733792,19,15,84,1,7.1,5,6.1,7.1,8.530885,32,m
10288.49531,4,49,81,1,8.2,2,6.88237,8.009683,9,47,s
4175.522035,8,49,85,3,7,2,5.8,7.1,8.530885,25,s
324.596506,5,46,85,1,9.1,4,7.2,8.3,8.530885,29,l
15138.08904,6,34,86,1,8.8,2,7.2,8.5,9,22,s
15572.39419,19,11,86,1,9.5,1,6.88237,8.5,12,33,m
1298.821933,7,10,86,3,7.5,2,6.9,7.2,9,10,s
72.511598,14,42,60,1,7.8,4,6.5,7.3,8.530885,20,l
452.755927,0,58,60,1,9.1,4,7,8.8,8.530885,30,s
