distFromSource,doubtful,hour,minute,regionCode,sourceEqMagnitude,typeMeasurementId,eqMagMb,eqMagMs,intensity,eqDepth,logrunupHt
547.673407,n,7,10,85,7.5,2,6.9,7.2,9,10,s
61.142222,n,7,20,85,6.2,2,5.8,6.2,8,15,s
2238.894707,n,19,28,82,8.1,2,6.88237,8.009683,9,19,s
1303.252643,n,13,47,85,7,2,5.8,7,8.530885,15,s
182.970723,n,22,54,89,8.3,5,6.88237,8.009683,9,22,l
51.703274,n,14,42,60,7.8,4,6.5,7.3,8.530885,20,l
96.17634,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
6914.80629,n,0,48,88,8.2,2,6.88237,8.009683,6,7,s
1674.385576,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
89.02251,n,17,35.732291,85,8.2,1,6.88237,8.2,8.530885,26.742663,l
72.569304,n,21,43,88,5.5,2,6.88237,8.009683,5,34,s
105.090775,n,1,22,85,8.1,1,6.88237,8.3,9,45,l
260.136693,n,0,58,60,9.1,4,7,8.8,8.530885,30,l
85.4615,n,10.1087,35.732291,81,8.300422,1,6.88237,8.009683,8.530885,26.742663,s
28.08069,n,8,5,83,7.9,5,6.3,7.6,6,24,m
138.018281,n,20,33,89,8.4,1,6.7,8.2,8,33,m
3386.488973,n,23,24,85,8.8,2,7,8,8,35,s
1280.445914,n,5,46,85,9.1,2,7.2,8.3,8.530885,29,s
323.955803,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
392.552765,n,20,59,85,6.9,2,6.88237,8.009683,8,9,s
8178.286826,n,4,14,86,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
87.13148,n,16,11,85,7.2,1,6.88237,8.009683,8.530885,40,s
108.805519,n,11,14,86,8.3,5,6.5,7.8,8.530885,10,l
4253.269379,n,12,29,88,8.6,2,6.88237,7.3,6,15,s
120.73572,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,l
181.8249,n,22,54,89,8.3,10,6.88237,8.009683,9,22,m
682.586894,n,4,49,88,8.2,2,6.88237,8.009683,9,47,s
144.728663,n,22,54,89,8.3,5,6.88237,8.009683,9,22,l
209.511074,n,15,36,89,8.8,1,8.2,8.6,9,20,s
182.109111,n,22,54,89,8.3,4,6.88237,8.009683,9,22,l
7958.300546,n,14,22,88,8.6,2,6.88237,9.1,8.530885,33,s
12790.98958,n,19,11,87,9.5,2,6.88237,8.5,12,33,m
13077.10069,n,22,54,87,8.3,2,6.88237,8.009683,9,22,s
101.811429,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
498.264071,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
65.340246,n,10,2,83,7.5,5,6.88237,8.009683,9,20,l
9228.570614,n,5,46,81,9.1,2,7.2,8.3,8.530885,29,s
3657.693694,n,12,29,80,8.6,5,6.88237,7.3,6,15,m
1590.082412,n,2,40,73,7.8,2,6.88237,7.3,7,22,s
71.244957,n,4,14,81,8.300422,5,6.88237,8.009683,8.530885,26.742663,s
669.019357,n,4,54,82,8,1,6,8.2,8.530885,17,s
922.70506,n,2,59,84,7.8,2,6.8,7.7,8,24,s
15.99526,n,7,10,85,7.5,4,6.9,7.2,9,10,m
30.675625,n,7,10,85,7.5,5,6.9,7.2,9,10,s
17111.93261,n,19,11,85,9.5,1,6.88237,8.5,12,33,m
139.450002,n,1,22,85,8.1,2,6.88237,8.3,9,45,m
17442.61282,n,22,47,85,8,2,6.7,7.8,8,40,s
55.89033,n,10,2,83,7.5,5,6.88237,8.009683,9,20,m
40.055704,n,6,34,89,8.8,4,7.2,8.5,9,22,l
851.112814,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
95.712933,n,0,26,81,6.4,1,6.88237,6.8,8.530885,33,s
183.177711,n,22,54,89,8.3,10,6.88237,8.009683,9,22,s
16950.89675,n,8,45,85,9.1,1,6.88237,8.7,11,26.742663,m
88.748238,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
34.48568,n,2,30,89,8.5,1,6.88237,8.5,11,26.742663,m
66.701559,n,4,20,50,7,1,6.88237,7.2,11,40,m
432.204045,n,6,8,60,8.3,5,7,8,8.530885,25,m
303.737521,n,2,59,85,7.8,1,6.8,7.7,8,24,s
116.822466,n,5,46,85,9.1,4,7.2,8.3,8.530885,29,m
481.508037,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,m
243.449159,n,8,19,60,7.7,4,6.1,7.2,8.530885,20,s
2182.673793,n,4,23,87,8.1,2,7.3,8.2,8.530885,10,s
971.700884,n,10.1087,35.732291,85,8.300422,2,4.9,8.009683,8.530885,10,s
44.478043,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,m
81.977642,n,3,19,50,6.2,2,6.88237,8.009683,8.530885,64,s
48.993678,n,13,55,60,8.300422,4,6.88237,8.009683,8.530885,26.742663,l
56.587558,n,13,55,60,8.300422,10,6.88237,8.009683,8.530885,26.742663,m
100.069661,n,5,46,85,9.1,5,7.2,8.3,8.530885,29,l
7871.03471,a,2,59,81,8.300422,2,6.88237,8.009683,8.530885,26.742663,m
264.272098,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
96.393682,n,18,17,85,6.9,2,6.4,6.9,8.530885,33,s
101.968335,n,19,50,85,8.3,5,6.9,8.1,8.530885,27,m
10802.15852,n,19,11,81,9.5,1,6.88237,8.5,12,33,m
2756.788095,a,4,14,81,8.300422,5,6.88237,8.009683,8.530885,26.742663,s
2895.175006,n,19,43,85,7.6,2,6.6,7.5,8.530885,17,s
214.870032,n,3,11,50,7.7,5,6.88237,7.8,9,20,m
1822.86915,n,0,58,60,9.1,4,7,8.8,8.530885,30,m
5305.153717,n,16,58,88,9,2,6.88237,8.5,7,22,s
298.297062,n,17,48,81,8.1,5,7.1,8.1,8.530885,18,m
8526.204019,a,4,14,88,8.300422,2,6.88237,8.009683,8.530885,26.742663,s
3771.70164,n,14,22,80,8.6,5,6.88237,9.1,8.530885,33,m
1017.011959,n,19,19,85,8.3,2,6.88237,8.1,8.530885,15,s
7505.584304,n,23,46,88,8.2,2,6.88237,8.009683,8,25,s
11644.83342,n,6,34,87,8.8,2,7.2,8.5,9,22,s
7575.6384,n,3,36,88,9.2,2,6.88237,8.4,10,25,s
10136.23443,n,19,11,81,9.5,2,6.88237,8.5,12,33,s
6085.948229,n,19,42,85,7.9,2,5.8,7.9,8.530885,33,s
394.74044,n,18,35,85,7.1,2,6.3,7.1,9,9,s
179.53779,n,17,48,81,8.1,4,7.1,8.1,8.530885,18,m
181.18848,n,13,47,85,7,1,5.8,7,8.530885,15,s
