area,country,day,distFromSource,doubtful,hour,latitude,locationName,longitude,minute,month,publish,regionCode,second,sourceCauseCode,sourceEqMagnitude,sourceEventValidity,sourceOceanicTsunami,typeMeasurementId,year,eqMagMb,eqMagMs,intensity,eqDepth,elevation,logrunupHt
CA,USA,15.0,158.890707,n,2.0,40.767,"NORTH SPIT, HUMBOLDT BAY, CA",-124.217,50.0,6.0,True,88,53.1,1,7.2,4,True,2,2005,6.2,7.1,4.0,10.0,0.0,s
FUKUSHIMA,JAPAN,11.0,205.686694,n,5.0,36.914611,"FUKUSHIMA PREFECTURE, TOHOKU REGION",140.821472,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,6.0,l
MIYAGI,SPAIN,10.0,261.336955,n,12.0,37.6,CARTAGENA,-0.983,25.0,10.0,True,50,26.0,3,7.1,4,True,2,1980,6.5,7.7,10.0,10.0,30.0,s
MIYAGI,JAPAN,11.0,89.55933,n,5.0,38.695639,"MIYAGI PREFECTURE, TOHOKU REGION",141.480444,46.0,3.0,True,85,24.1,1,9.1,4,True,4,2011,7.2,8.3,8.530885,29.0,12.0,l
AOMORI,JAPAN,16.0,236.991179,n,0.0,41.2,MINMAYA,140.433,48.0,5.0,True,85,55.4,1,8.2,4,True,2,1968,6.88237,8.009683,6.0,7.0,0.0,s
MIYAGI,AUSTRALIA,22.0,11189.90327,n,19.0,-28.2,TWEED HEADS,153.55,11.0,5.0,True,81,17.0,1,9.5,4,True,1,1960,6.88237,8.5,12.0,33.0,8.0,s
WESTJAVA,INDONESIA,17.0,202.279042,n,8.0,-7.79478,BULAK BENDA,108.48563,19.0,7.0,True,60,26.0,1,7.7,4,True,4,2006,6.1,7.2,8.530885,20.0,11.0,m
MAULE,CHILE,27.0,38.910851,n,6.0,-35.844,CURANIPE,-72.635,34.0,2.0,True,89,11.5,1,8.8,4,True,5,2010,7.2,8.5,9.0,22.0,0.0,l
MIYAGI,SOLOMON ISLANDS,3.0,18.65668,n,22.0,-8.64166,"RETAVO, RENDOVA ISLAND",157.28487,36.0,1.0,True,82,27.9,1,7.1,4,True,5,2010,6.4,7.1,8.530885,25.0,16.0,l
CHIBA,JAPAN,22.0,152.971553,n,1.0,35.75,CHOSHI,140.867,14.0,11.0,True,85,0.0,1,6.9,4,True,2,1938,6.88237,8.009683,8.530885,10.0,0.0,s
MIYAGI,NEW CALEDONIA,17.0,2398.993387,n,10.0,-21.9829,OUINNE,166.6833,51.0,12.0,True,82,10.5,1,7.9,4,True,2,2016,6.88237,8.009683,8.0,95.0,0.0,s
MIYAGI,VANUATU,5.0,268.16894,n,4.0,-19.53256,"LENAKEL, TANNA",169.26595,18.0,12.0,True,82,42.0,1,7.5,4,True,2,2018,6.88237,8.009683,8.530885,10.0,7.0,s
HOKKAIDO,JAPAN,25.0,71.851385,n,19.0,42.289444,HIROO,143.32,50.0,9.0,True,85,6.3,1,8.3,4,True,5,2003,6.9,8.1,8.530885,27.0,6.0,m
