@relation 'tsunami_train-weka.filters.unsupervised.attribute.NumericToNominal-R13,15,17,19-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14,17-20'

@attribute distFromSource numeric
@attribute regionCode {30,40,50,60,71,73,74,75,76,77,80,81,82,83,84,85,86,87,88,89}
@attribute sourceCauseCode {0,1,3,4,5,6,9}
@attribute sourceEqMagnitude numeric
@attribute eqMagMb numeric
@attribute eqMagMs numeric
@attribute intensity numeric
@attribute eqDepth numeric
@attribute elevation numeric
@attribute logrunupHt {m,s,l}

@data
214.096958,81,1,8.1,7.1,8.1,8.530885,18,0,l
221.948183,85,1,7.8,6.8,7.7,8,24,0,s
12394.07121,81,1,9.5,6.88237,8.5,12,33,0,s
29.944065,74,1,7.6,6.3,7.4,10,10,10,s
81.098333,89,1,8.3,6.88237,8.009683,9,22,9,m
2025.019735,60,1,9.1,7,8.8,8.530885,30,5,m
8592.488074,88,1,8.3,6.88237,8.009683,9,22,0,s
99.133688,86,1,8.3,6.5,7.8,8.530885,10,9,l
108.870961,85,1,7.4,6.88237,7.4,8.530885,10,34,s
1824.773025,60,1,9.1,7,8.8,8.530885,30,8,l
108.031153,85,1,8.2,6.88237,8.2,8.530885,26.742663,7,m
257.779884,85,1,9.1,7.2,8.3,8.530885,29,6,m
40.887101,50,3,7.7,6.88237,7.8,9,20,5,l
143.461635,86,1,8.2,6.88237,7.8,9,30,7,m
122.707683,85,1,7.6,6.88237,7.3,8.530885,74,34,s
205.517405,85,1,9.1,7.2,8.3,8.530885,29,13,l
5332.445701,80,1,8.2,6.88237,8,10,60,11,s
13070.62094,89,1,8.6,6.88237,9.1,8.530885,33,10,s
51.703274,60,1,7.8,6.5,7.3,8.530885,20,11,m
185.620134,85,1,8.1,6.88237,8,8.530885,30,0,m
212.490825,85,1,6.9,6.88237,8.009683,8,9,10,s
46.581956,60,1,7.8,6.5,7.3,8.530885,20,5,s
31.54772,80,3,6.5,5.8,6.1,6,9,7,s
114.426828,85,1,9.1,7.2,8.3,8.530885,29,7,s
53.625974,50,1,6.9,6.2,6.9,9,10,29,m
1735.472785,85,1,8.3,7.3,8.1,9,14,0,s
49.4076,85,1,7.9,6.88237,7.9,8.530885,35,304,m
2126.001098,87,1,8.2,6.88237,7.8,9,30,0,s
69.537673,85,1,7.9,6.88237,7.9,8.530885,35,0,m
1714.182549,60,1,9.1,7,8.8,8.530885,30,13,l
3324.638472,88,3,8.6,6.88237,7.3,6,15,37,m
270.351219,85,1,7.8,6.8,7.7,8,24,8,s
90.262873,85,1,9.1,7.2,8.3,8.530885,29,6,s
625.786164,85,1,6.4,6.88237,8.009683,8.530885,11,12,s
505.681177,85,1,8.4,6.88237,8.5,8.530885,15,0,s
838.838763,86,1,7.5,6.88237,8.009683,5,40,7,s
110.815256,88,3,6.8,6.88237,8.009683,9,26.742663,18,s
60.458499,83,3,7.5,6.88237,8.009683,9,20,15,m
9378.682138,81,1,9.5,6.88237,8.5,12,33,0,s
58.309989,89,1,8.2,6.88237,8.009683,8,25,18,m
11.913658,50,1,6.6,6.88237,8.009683,7,7,5,s
3635.083093,80,3,8.6,6.88237,7.3,6,15,25,s
123.965676,85,1,9.1,7.2,8.3,8.530885,29,9,m
233.113801,89,1,8.3,6.88237,8.009683,9,22,19,m
2725.499726,81,3,6.4,6.88237,6.8,8.530885,33,647,m
52.511134,81,1,7.8,7.1,8,9,59,18,s
91.75284,85,1,9.1,7.2,8.3,8.530885,29,19,l
3994.786459,81,1,7.6,6.6,7.5,8.530885,17,0,s
2228.051827,89,1,7.3,6.88237,8.009683,8.530885,28,23.263212,s
259.540674,60,1,9.1,7,8.8,8.530885,30,7,l
5099.389416,80,3,6.4,6.88237,6.8,8.530885,33,0,s
10142.91507,82,1,7.7,6.5,7.5,8.530885,14,12,s
209.136209,89,1,8.3,6.88237,8.009683,9,22,13,m
17011.46382,85,1,9.5,6.88237,8.5,12,33,41,m
263.006841,60,1,9.1,7,8.8,8.530885,30,7,l
17420.43636,85,1,9.5,6.88237,8.5,12,33,23,m
5147.018548,84,1,9,6.88237,8.5,7,22,9,s
120.472431,81,1,7.6,6.88237,8.009683,8.530885,12,6,s
5982.569205,85,1,7.7,6.4,7.9,8.530885,33,100,s
181.493978,89,1,8.3,6.88237,8.009683,9,22,17,m
